Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;2732 - Balança comercial (saldo) - mensal - US$ (milhões)
10/2000;0,14 ;-528,0
11/2000;0,32 ;-632,3
12/2000;0,59 ;-213,6
01/2001;0,57 ;-476,3
02/2001;0,46 ;77,7
03/2001;0,38 ;-279,9
04/2001;0,58 ;120,2
05/2001;0,41 ;210,9
06/2001;0,52 ;280,4
07/2001;1,33 ;107,8
08/2001;0,70 ;628,1
09/2001;0,28 ;595,7
10/2001;0,83 ;245,9
11/2001;0,71 ;286,9
12/2001;0,65 ;853,1
01/2002;0,52 ;168,9
02/2002;0,36 ;261,5
03/2002;0,60 ;597,1
04/2002;0,80 ;501,7
05/2002;0,21 ;378,0
06/2002;0,42 ;678,8
07/2002;1,19 ;1.199,8
08/2002;0,65 ;1.576,9
09/2002;0,72 ;2.489,5
10/2002;1,31 ;2.191,0
11/2002;3,02 ;1.278,3
12/2002;2,10 ;1.799,9
01/2003;2,25 ;1.155,0
02/2003;1,57 ;1.113,2
03/2003;1,23 ;1.536,4
04/2003;0,97 ;1.721,8
05/2003;0,61 ;2.517,8
06/2003;-0,15 ;2.353,7
07/2003;0,20 ;2.055,4
08/2003;0,34 ;2.672,7
09/2003;0,78 ;2.664,2
10/2003;0,29 ;2.535,5
11/2003;0,34 ;1.717,3
12/2003;0,52 ;2.750,8
01/2004;0,76 ;1.582,7
02/2004;0,61 ;1.960,3
03/2004;0,47 ;2.581,8
04/2004;0,37 ;1.954,5
05/2004;0,51 ;3.109,6
06/2004;0,71 ;3.798,2
07/2004;0,91 ;3.463,4
08/2004;0,69 ;3.432,7
09/2004;0,33 ;3.169,6
10/2004;0,44 ;3.003,0
11/2004;0,69 ;2.076,5
12/2004;0,86 ;3.508,4
01/2005;0,58 ;2.181,5
02/2005;0,59 ;2.776,9
03/2005;0,61 ;3.341,7
04/2005;0,87 ;3.869,7
05/2005;0,49 ;3.446,1
06/2005;-0,02 ;4.033,2
07/2005;0,25 ;5.004,4
08/2005;0,17 ;3.650,6
09/2005;0,35 ;4.319,3
10/2005;0,75 ;3.675,5
11/2005;0,55 ;4.074,1
12/2005;0,36 ;4.330,0
01/2006;0,59 ;2.835,3
02/2006;0,41 ;2.802,9
03/2006;0,43 ;3.690,2
04/2006;0,21 ;3.089,3
05/2006;0,10 ;3.017,3
06/2006;-0,21 ;4.098,1
07/2006;0,19 ;5.659,4
08/2006;0,05 ;4.554,5
09/2006;0,21 ;4.467,9
10/2006;0,33 ;3.951,1
11/2006;0,31 ;3.238,7
12/2006;0,48 ;5.051,9
01/2007;0,44 ;2.523,3
02/2007;0,44 ;2.900,6
03/2007;0,37 ;3.303,6
04/2007;0,25 ;4.180,7
05/2007;0,28 ;3.853,5
06/2007;0,28 ;3.822,5
07/2007;0,24 ;3.344,3
08/2007;0,47 ;3.540,8
09/2007;0,18 ;3.474,7
10/2007;0,30 ;3.428,7
11/2007;0,38 ;2.020,6
12/2007;0,74 ;3.638,3
01/2008;0,54 ;923,3
02/2008;0,49 ;849,4
03/2008;0,48 ;988,0
04/2008;0,55 ;1.737,6
05/2008;0,79 ;4.075,1
06/2008;0,74 ;2.728,6
07/2008;0,53 ;3.329,6
08/2008;0,28 ;2.293,8
09/2008;0,26 ;2.732,3
10/2008;0,45 ;1.262,4
11/2008;0,36 ;1.615,2
12/2008;0,28 ;2.300,5
01/2009;0,48 ;-529,5
02/2009;0,55 ;1.761,1
03/2009;0,20 ;1.756,6
04/2009;0,48 ;3.692,5
05/2009;0,47 ;2.623,6
06/2009;0,36 ;4.604,3
07/2009;0,24 ;2.911,2
08/2009;0,15 ;3.053,7
09/2009;0,24 ;1.309,4
10/2009;0,28 ;1.320,3
11/2009;0,41 ;612,8
12/2009;0,37 ;2.173,9
01/2010;0,75 ;-180,7
02/2010;0,78 ;389,2
03/2010;0,52 ;672,2
04/2010;0,57 ;1.282,3
