Data;11752 - Índice da taxa de câmbio real efetiva (IPCA) - Jun/1994=100 - Índice
01/1988;125,54
02/1988;125,72
03/1988;127,44
04/1988;126,85
05/1988;129,13
06/1988;123,08
07/1988;120,04
08/1988;121,25
09/1988;118,15
10/1988;121,04
11/1988;123,89
12/1988;123,33
01/1989;119,53
02/1989;113,01
03/1989;106,54
04/1989;93,21
05/1989;85,17
06/1989;82,30
07/1989;93,02
08/1989;90,76
09/1989;86,33
10/1989;87,01
11/1989;82,58
12/1989;79,35
01/1990;80,32
02/1990;71,47
03/1990;66,32
04/1990;71,27
05/1990;74,10
06/1990;72,56
07/1990;76,66
08/1990;75,14
09/1990;71,46
10/1990;81,02
11/1990;91,26
12/1990;96,86
01/1991;98,61
02/1991;94,15
03/1991;85,37
04/1991;87,10
05/1991;87,79
06/1991;85,03
07/1991;83,97
08/1991;82,83
09/1991;84,37
10/1991;96,91
11/1991;99,93
12/1991;106,25
01/1992;106,19
02/1992;104,10
03/1992;104,40
04/1992;106,33
05/1992;103,07
06/1992;104,52
07/1992;106,81
08/1992;108,15
09/1992;107,69
10/1992;106,09
11/1992;104,66
12/1992;103,21
01/1993;99,28
02/1993;100,47
03/1993;99,50
04/1993;101,73
05/1993;102,95
06/1993;102,43
07/1993;101,00
08/1993;100,79
09/1993;101,10
10/1993;102,38
11/1993;101,19
12/1993;100,32
01/1994;98,91
02/1994;100,37
03/1994;99,07
04/1994;100,39
05/1994;100,94
06/1994;100,00
07/1994;88,96
08/1994;84,38
09/1994;80,46
10/1994;77,62
11/1994;74,85
12/1994;73,31
01/1995;72,10
02/1995;71,63
03/1995;76,62
04/1995;77,91
05/1995;74,72
06/1995;74,80
07/1995;74,47
08/1995;73,27
09/1995;72,93
10/1995;73,26
11/1995;73,97
12/1995;71,08
01/1996;70,32
02/1996;70,30
03/1996;70,35
04/1996;69,62
05/1996;69,08
06/1996;68,71
07/1996;68,74
08/1996;69,44
09/1996;69,35
10/1996;69,36
11/1996;69,94
12/1996;69,53
01/1997;68,35
02/1997;67,35
03/1997;67,06
04/1997;66,56
05/1997;67,43
06/1997;67,40
07/1997;66,97
08/1997;66,66
09/1997;67,64
10/1997;68,54
11/1997;68,87
12/1997;68,19
01/1998;67,51
02/1998;67,94
03/1998;67,86
04/1998;68,41
05/1998;68,97
06/1998;68,81
07/1998;69,27
08/1998;70,01
09/1998;72,56
10/1998;74,81
11/1998;74,40
12/1998;75,26
01/1999;93,04
02/1999;115,55
03/1999;112,06
04/1999;99,70
05/1999;98,35
06/1999;102,06
07/1999;102,97
08/1999;108,50
09/1999;109,72
10/1999;113,32
11/1999;108,98
12/1999;102,78
01/2000;100,17
02/2000;97,34
03/2000;95,28
04/2000;96,02
05/2000;97,52
06/2000;98,44
07/2000;95,77
08/2000;93,46
09/2000;94,05
10/2000;95,61
11/2000;99,08
12/2000;101,06
01/2001;100,36
02/2001;105,96
03/2001;109,46
04/2001;114,17
05/2001;119,14
06/2001;121,73
07/2001;124,71
08/2001;128,03
09/2001;136,35
10/2001;137,79
11/2001;126,16
12/2001;116,85
01/2002;111,75
02/2002;111,03
03/2002;106,76
04/2002;105,39
05/2002;112,89
06/2002;124,70
07/2002;136,62
08/2002;142,67
09/2002;152,25
10/2002;171,03
11/2002;158,26
12/2002;158,70
01/2003;149,36
02/2003;160,19
03/2003;152,85
04/2003;138,14
05/2003;133,03
06/2003;130,28
07/2003;129,20
08/2003;132,84
09/2003;129,62
10/2003;129,03
11/2003;130,76
12/2003;133,07
01/2004;130,93
02/2004;137,73
03/2004;135,51
04/2004;135,10
05/2004;142,57
06/2004;144,10
07/2004;139,40
08/2004;136,65
09/2004;131,58
10/2004;130,98
11/2004;129,05
12/2004;126,88
01/2005;124,02
02/2005;120,05
03/2005;125,30
04/2005;118,26
05/2005;111,64
06/2005;108,35
07/2005;106,38
08/2005;106,82
09/2005;104,03
10/2005;100,88
11/2005;97,21
12/2005;100,90
01/2006;100,68
02/2006;95,44
03/2006;95,29
04/2006;95,14
05/2006;99,31
06/2006;102,35
07/2006;100,12
08/2006;99,20
09/2006;99,14
10/2006;97,72
11/2006;98,62
12/2006;99,29
01/2007;97,85
02/2007;95,85
03/2007;96,14
04/2007;94,59
05/2007;92,50
06/2007;90,12
07/2007;88,84
08/2007;92,25
09/2007;89,92
10/2007;86,17
11/2007;86,19
12/2007;86,66
01/2008;86,19
02/2008;85,36
03/2008;86,32
04/2008;85,97
05/2008;84,12
06/2008;82,11
07/2008;81,06
08/2008;80,55
09/2008;87,61
10/2008;100,24
11/2008;100,66
12/2008;107,19
01/2009;101,33
02/2009;99,54
03/2009;97,40
04/2009;95,38
05/2009;89,91
06/2009;87,38
07/2009;86,38
08/2009;82,86
09/2009;82,13
10/2009;79,15
11/2009;79,27
12/2009;79,87
01/2010;79,59
02/2010;81,53
03/2010;78,75
04/2010;77,18
05/2010;77,66
06/2010;76,40
07/2010;76,44
08/2010;76,82
09/2010;75,57
10/2010;75,18
11/2010;75,74
12/2010;73,74
01/2011;73,19
02/2011;74,67
03/2011;74,77
04/2011;72,21
05/2011;73,42
06/2011;72,38
07/2011;71,76
08/2011;73,43
09/2011;78,12
10/2011;78,22
11/2011;78,06
12/2011;79,39
01/2012;76,75
02/2012;75,45
03/2012;79,00
04/2012;81,10
05/2012;85,53
06/2012;87,00
07/2012;85,92
08/2012;86,89
09/2012;87,63
10/2012;87,34
11/2012;87,99
12/2012;88,50
01/2013;86,00
02/2013;83,58
03/2013;82,97
04/2013;83,30
05/2013;84,33
06/2013;90,18
07/2013;93,45
08/2013;98,06
09/2013;94,79
10/2013;91,47
11/2013;94,71
12/2013;95,87
01/2014;95,60
02/2014;94,72
03/2014;91,68
04/2014;87,63
05/2014;86,90
06/2014;87,05
07/2014;87,49
08/2014;88,77
09/2014;89,59
10/2014;92,87
11/2014;94,97
12/2014;96,64
01/2015;93,33
02/2015;98,77
03/2015;106,96
04/2015;103,69
05/2015;104,13
06/2015;105,07
07/2015;108,32
08/2015;116,79
09/2015;129,34
10/2015;127,47
11/2015;121,97
12/2015;122,10
01/2016;122,64
02/2016;120,27
03/2016;112,65
04/2016;110,04
05/2016;108,67
06/2016;104,88
07/2016;99,55
08/2016;98,17
09/2016;99,10
10/2016;95,95
11/2016;98,84
12/2016;97,55
01/2017;93,08
02/2017;91,50
03/2017;92,12
04/2017;93,26
05/2017;95,64
06/2017;99,23
07/2017;97,45
08/2017;97,36
09/2017;97,51
10/2017;97,91
11/2017;99,87
12/2017;100,99
01/2018;99,48
02/2018;101,89
03/2018;102,57
04/2018;106,74
05/2018;110,00
06/2018;110,84
07/2018;111,84
08/2018;113,82
09/2018;116,32
10/2018;106,32
11/2018;106,72
12/2018;109,46
01/2019;106,18
02/2019;105,64
03/2019;107,76
04/2019;108,96
05/2019;110,69
06/2019;107,71
07/2019;106,95
08/2019;110,62
09/2019;112,63
10/2019;112,09
11/2019;113,51
12/2019;111,81
01/2020;113,20
02/2020;118,06
03/2020;131,08
04/2020;141,14
05/2020;149,83
06/2020;139,50
07/2020;144,20
08/2020;151,32
09/2020;148,88
10/2020;154,27
11/2020;148,41
12/2020;141,00
01/2021;147,01
02/2021;148,58
03/2021;152,43
04/2021;150,95
05/2021;144,11
