"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.10.2024","5,4680","5,4680","5,4680","5,4680","","-0,30%"
"03.10.2024","5,4844","5,4844","5,4844","5,4844","","1,00%"
"02.10.2024","5,4299","5,4299","5,4299","5,4299","","-0,40%"
"01.10.2024","5,4515","5,4515","5,4515","5,4515","","0,07%"
"30.09.2024","5,4475","5,4475","5,4475","5,4475","","0,09%"
"27.09.2024","5,4425","5,4425","5,4425","5,4425","","0,03%"
"26.09.2024","5,4406","5,4406","5,4406","5,4406","","-0,59%"
"25.09.2024","5,4730","5,4730","5,4730","5,4730","","0,06%"
"24.09.2024","5,4696","5,4696","5,4696","5,4696","","-1,34%"
"23.09.2024","5,5440","5,5440","5,5440","5,5440","","1,23%"
"20.09.2024","5,4769","5,4769","5,4769","5,4769","","1,08%"
"19.09.2024","5,4183","5,4183","5,4183","5,4183","","-1,06%"
"18.09.2024","5,4761","5,4761","5,4761","5,4761","","-0,44%"
"17.09.2024","5,5004","5,5004","5,5004","5,5004","","-0,36%"
"16.09.2024","5,5201","5,5201","5,5201","5,5201","","-0,92%"
"13.09.2024","5,5711","5,5711","5,5711","5,5711","","-1,48%"
"12.09.2024","5,6548","5,6548","5,6548","5,6548","","0,30%"
"11.09.2024","5,6381","5,6381","5,6381","5,6381","","0,24%"
"10.09.2024","5,6248","5,6248","5,6248","5,6248","","0,28%"
"09.09.2024","5,6091","5,6091","5,6091","5,6091","","0,71%"
"06.09.2024","5,5696","5,5696","5,5696","5,5696","","-0,62%"
"05.09.2024","5,6043","5,6043","5,6043","5,6043","","-0,55%"
"04.09.2024","5,6353","5,6353","5,6353","5,6353","","0,24%"
"03.09.2024","5,6218","5,6218","5,6218","5,6218","","-0,01%"
"02.09.2024","5,6224","5,6224","5,6224","5,6224","","-0,59%"
"30.08.2024","5,6556","5,6556","5,6556","5,6556","","0,36%"
"29.08.2024","5,6352","5,6352","5,6352","5,6352","","1,89%"
"28.08.2024","5,5309","5,5309","5,5309","5,5309","","0,63%"
"27.08.2024","5,4963","5,4963","5,4963","5,4963","","0,09%"
"26.08.2024","5,4915","5,4915","5,4915","5,4915","","-0,62%"
"23.08.2024","5,5257","5,5257","5,5257","5,5257","","-0,47%"
"22.08.2024","5,5518","5,5518","5,5518","5,5518","","1,49%"
"21.08.2024","5,4701","5,4701","5,4701","5,4701","","0,29%"
"20.08.2024","5,4541","5,4541","5,4541","5,4541","","0,57%"
"19.08.2024","5,4231","5,4231","5,4231","5,4231","","-0,72%"
